,numquest,A1_sexe,A2_genre,A2_diff,A3_age_m,A3_age_y,age_groupe,A4_taille,A5_poids,A6_IMC,B01,B02,B03,B04/07,B05/08,Règles,C_AP,Dcons01,Dcons02,Dcons03,Dcons04,Dcons05,Dcons06,Dcons07,Dcons08,Dcons09,Dcons10,Dcons11,Dcons12,Dcons13,Dcons14,Dcons15,Dcons16,Dcons17,Dcons18,Dcons19,Dcons20,Dcons21,Dcons22,Dcons23,EIRI01,EIRI02,EIRI03,EIRI04,EIRI05,EIRI06,EIRI07,EIRI08,EIRI09,EIRI10,EIRI11,EIRI12,EIRI13,EIRI14,F_reseau,F02,F03,Greseau01,Greseau02,Greseau03,Greseau04,Greseau05,Greseau06,Greseau07,Greseau08,Greseau09,Greseau10,Greseau11,Hest01,Hest02,Hest03,Hest04,Hest05,Hest06,Hest07,Hest08,Hest09,Hest10,Hest11,Hest12,Hest13,Hest14,Hest15,Hest16,Hest17,Hest18,Hest19,Hest20,Hest21,Hest22,Hest23,Iobj01,Iobj02,Iobj03,Iobj04,Iobj05,Iobj06,Iobj07,Iobj08,IIpress01,IIpress02,IIpress03,IIpress04,IIpress05,IIpress06,IIpress07,IIpress08,IIpress09,IIpress10,IIpress11,IIpress12,Jcons01,Jcons02,Jcons03,Jcons04,Jcons05,Jcons06,Jcons07,Kinter01,Kinter02,Kinter03,Kinter04,Kinter05,Kinter06,Kinter07,Kinter08,Kinter09,Kinter10,Kinter11,Kinter12,Kinter13,Kinter14,Kinter15,Kinter16,Kinter17,Kinter18,Kinter19,Kinter20,Kinter21,L1tact01,L1tact02,L1tact03,L1tact04,L1tact05,L1tact06,L1tact07,L2tact01,L2tact02,L2tact03,L2tact04,L2tact05,L2tact06,L2tact07,L2tact08,L3mouv01,L3mouv02,L3mouv03,L3mouv04,L3mouv05,L3mouv06,L3mouv07,L3mouv08,L4act01,L4act02,L4act03,L4act04,L4act05,L4act06,L4act07,L4act08,L4act09,L4act10,M1_douleurs_nb,NLpairs01,NLpairs02,NLpairs03,NLpairs04,NLpairs05,NLpairs06,NLpairs07,NLpairs08,NLpairs09,NLpairs10,classe,filiere,diplome_parent,sit_eco,langue,main,departement
0,18,2,2,2,146,12,1,146.0,38.0,17.82698442484519,,3,2,,,,2,3,2,5,1,2,2,3,1,5,1,2,2,2,2,3,1,2,2,1,3,1,2,2,2,3,3,2,3,1,3,5,2,1,2,1,1,1,2,0,0,1,1,1,1,1,1,1,1,1,1,1,3,3,4,4,1,3,,5,4,5,5,5,5,4,5,4,5,5,5,3,5,5,5,3,2,4,1,1,3,5,,1,2,1,,1,1,1,1,1,3,1,,1,3,3,2,3,,,1,2,2,5,,5,3,5,4,5,4,1,3,3,4,1,,4,5,5,5,1,5,1,5,3,1,4,1,5,5,1,3,3,5,5,4,3,5,3,4,3,5,5,2,5,1,4,5,5,5,1,3,2,0,2,3,3,,2,4,3,2,3,3,6,,,5,Y,1,
1,19,2,2,2,146,12,1,137.0,36.0,19.18056369545527,2,2,2,,,,2,2,3,,3,2,1,1,2,3,1,1,2,3,4,1,1,3,1,4,4,3,4,1,4,3,5,3,5,4,5,5,5,5,4,4,2,4,1,4,1,3,2,1,1,1,2,1,1,1,1,1,4,,5,4,,5,4,4,4,4,5,4,5,4,5,5,5,5,5,3,5,4,3,3,2,2,2,2,2,2,,1,1,2,1,1,1,2,1,1,4,5,1,3,4,3,4,2,,,3,4,4,4,3,2,3,4,3,3,4,3,4,4,3,3,3,3,4,5,4,4,5,2,2,4,3,3,1,5,5,1,4,3,4,,2,3,5,3,2,3,5,5,2,2,3,,3,5,5,2,3,2,0,3,4,3,4,3,4,4,4,4,4,6,,,4,Y,1,
2,25,1,1,2,261,21,3,157.0,60.0,24.341758286340216,4,4,4,4,4,13,2,4,4,4,3,3,3,4,4,4,3,2,4,4,3,4,3,3,4,2,4,3,3,2,3,4,4,4,4,5,4,4,5,5,4,3,3,3,1,4,4,5,5,5,5,3,3,4,3,4,2,3,3,3,3,3,2,4,4,2,3,2,4,2,4,4,3,2,5,3,3,3,4,3,3,4,1,2,3,2,3,2,,3,4,2,3,3,4,3,2,3,4,2,3,4,4,4,3,4,,,3,4,,4,3,4,2,2,3,4,3,4,4,2,3,4,3,4,4,4,4,4,2,3,1,4,4,4,2,3,4,2,1,2,5,3,4,4,5,3,4,3,4,5,5,2,3,3,3,3,4,1,1,2,0,4,3,,4,4,3,3,3,4,4,-4,,,2,Y,1,
3,34,1,1,2,285,23,3,168.0,60.0,21.258503401360546,4,4,4,4,4,14,3,5,5,3,3,5,5,5,5,4,5,5,3,4,5,4,5,4,4,4,5,3,2,4,5,4,4,2,4,5,5,4,5,5,1,5,1,3,1,4,4,5,5,5,5,4,4,4,4,2,4,2,3,4,2,3,2,3,1,3,1,3,1,4,3,3,3,5,3,5,4,4,1,3,2,5,3,4,5,5,4,5,,2,3,4,5,3,2,4,4,5,5,5,5,4,3,5,5,4,,,4,4,2,4,5,4,4,3,3,4,2,3,3,2,2,2,1,3,2,2,3,3,4,1,4,5,1,4,4,4,5,3,5,4,5,5,3,5,5,4,5,5,5,4,3,1,3,5,3,4,5,3,1,4,0,2,3,4,4,3,1,2,1,4,3,-4,,,4,Y,1,
4,39,2,2,2,278,23,3,173.0,70.0,23.38868655818771,4,4,4,,,,3,5,5,5,3,5,4,5,3,5,4,4,2,5,5,3,3,4,4,5,4,2,4,1,5,4,4,5,5,5,5,4,5,3,4,5,2,4,1,2,4,4,2,2,4,3,1,5,1,2,1,2,3,3,3,5,4,4,2,4,3,3,2,4,5,4,4,5,5,5,5,4,2,5,3,4,3,2,5,4,4,4,,1,4,4,4,1,1,3,3,1,4,2,1,3,4,4,4,3,,,4,4,2,4,4,4,3,3,1,3,5,4,5,4,5,3,4,2,4,5,3,4,2,5,3,4,3,4,4,3,2,3,4,3,5,3,4,5,3,3,3,4,5,4,3,2,4,2,4,4,1,4,4,5,1,2,3,,3,3,2,2,2,4,2,-4,,,3,Y,1,
5,40,1,1,2,235,19,3,172.0,58.0,19.60519199567334,4,4,4,4,4,12,4,5,4,5,2,5,4,5,4,5,2,1,2,4,3,5,2,4,5,4,2,2,4,2,3,3,3,2,4,4,4,3,4,5,,4,3,3,1,4,4,5,4,5,5,4,4,3,1,3,1,4,3,3,3,2,1,2,3,3,2,4,2,3,2,3,4,4,4,4,4,2,4,3,3,2,2,2,4,4,4,2,,2,4,2,4,2,3,4,4,4,5,4,4,4,4,5,4,3,,,3,4,2,5,4,3,4,3,1,2,2,4,4,4,3,5,4,4,4,4,5,4,4,3,2,5,3,5,3,4,4,2,2,2,5,4,2,5,5,1,2,5,5,2,5,2,4,2,4,4,4,3,4,5,0,,,,,,,,,,,-2,,,5,Y,1,
6,41,1,1,2,210,17,2,160.0,55.0,21.484374999999996,4,4,2,4,4,13,1,3,4,2,1,3,5,5,5,4,2,4,1,3,4,2,3,4,5,5,4,4,3,1,5,4,1,5,5,5,3,5,3,2,5,3,1,5,1,3,2,5,5,5,5,3,3,4,1,4,4,4,3,5,2,1,1,3,3,1,4,1,5,4,3,4,4,5,3,1,2,4,2,2,4,4,3,3,4,4,4,3,,2,2,1,5,1,4,4,2,5,5,4,3,3,5,3,5,5,,,2,5,3,4,3,4,4,3,3,3,2,3,5,4,4,4,2,3,3,3,3,5,5,5,2,3,1,3,5,5,5,4,5,3,5,3,3,5,5,3,3,5,3,3,4,1,5,1,1,4,3,4,1,5,0,1,,,,,,,,,,0,,,5,,1,
7,54,1,1,2,234,19,3,165.0,58.0,21.30394857667585,4,4,4,4,4,13,4,4,4,4,5,5,5,5,4,5,4,3,4,3,3,4,5,5,4,4,4,4,3,5,5,5,4,5,3,5,5,4,5,3,5,3,2,3,1,3,2,5,4,4,3,3,3,4,3,2,1,1,3,3,4,4,4,3,4,4,2,4,4,4,5,3,3,5,4,2,5,3,3,4,4,4,3,2,4,2,4,5,,1,1,4,5,1,1,2,2,4,4,5,4,4,4,4,5,5,,,5,5,5,5,3,3,2,3,4,3,4,2,4,4,4,3,2,3,4,4,4,3,2,4,2,5,1,4,2,4,5,3,4,5,5,,3,5,5,3,5,5,5,4,5,4,1,2,5,4,5,1,1,5,0,3,3,2,4,3,4,4,2,4,4,-2,,,3,Y,1,
8,56,1,1,2,292,24,3,171.0,56.0,19.15119181970521,4,4,4,4,4,14,4,3,4,,3,4,5,4,3,4,3,5,5,4,5,4,5,5,4,3,4,3,3,3,4,3,4,2,3,3,4,3,5,4,2,4,3,3,1,3,3,4,3,4,4,1,1,4,1,2,1,1,3,4,4,5,1,4,3,4,2,4,5,4,5,5,5,5,5,5,5,4,2,4,4,4,3,3,5,2,5,4,,1,1,5,4,1,1,2,3,2,5,4,4,4,4,3,4,4,,,3,5,2,4,2,3,3,2,4,4,1,4,4,5,5,4,2,2,4,4,4,4,3,1,2,2,1,1,1,4,3,3,5,5,4,4,3,4,4,4,2,4,5,3,4,4,3,3,5,4,3,1,5,2,2,4,,4,4,3,3,4,3,4,4,-2,travail,,4,Y,1,
9,66,2,2,2,239,19,3,187.0,90.0,25.737081414967538,4,4,4,,,,4,4,4,4,2,4,4,4,4,4,3,4,3,4,4,4,3,4,4,3,4,3,4,2,4,4,4,4,5,4,4,4,4,5,4,5,4,4,1,2,2,4,4,4,2,4,4,4,2,2,1,2,3,3,4,3,2,3,4,4,2,4,2,3,3,4,3,4,4,5,5,3,2,4,3,4,2,3,4,4,3,4,,3,2,4,4,1,2,4,4,4,5,4,4,5,3,5,3,3,,,3,4,3,4,4,3,2,3,3,3,4,3,4,3,4,3,2,2,4,4,4,5,3,4,4,4,2,1,3,3,2,3,3,4,5,4,2,5,4,3,4,5,4,5,3,2,3,3,3,4,3,2,3,4,0,,3,3,4,3,3,3,3,3,3,-2,,,4,Y,1,
