A1_sexe,A2_diff,A3_age_m,A6_IMC,B_puberte,C_AP,D1_priv,D2_pub,D3_anx_soc,E1_perspec,E2_empat,G1_comp,G2_cog,G3_affec,H1_appa,H2_attri,H3_poids,I_objectifi,II1_fam,II2_pairs,II3_reseau,J_cons_corps,K1_notice,K2_nodistract,K3_notworry,K4_emotion,K5_listing,K6_trust,L2_tact_soc,L_threshold,L_behav,M1_douleurs_nb,N_influence_pairs,sit_eco
2,2,146,17.82698442484519,2.5,2,2.7777777777777777,1.7142857142857142,1.3333333333333333,2.3333333333333335,2.142857142857143,1.0,1.0,1.0,4.444444444444445,3.2,4.625,2.7142857142857144,1.3333333333333333,1.0,1.6666666666666667,2.4,2.5,4.0,4.666666666666667,3.0,2.5,5.0,3.2857142857142856,4.071428571428571,2.4444444444444446,0,2.7777777777777777,5
2,2,146,19.18056369545527,2.0,2,2.3333333333333335,2.7142857142857144,1.6666666666666667,3.5,4.714285714285714,1.75,1.3333333333333333,1.0,4.5,3.6666666666666665,4.5,2.142857142857143,1.25,1.25,2.75,3.2,3.75,2.6666666666666665,3.3333333333333335,3.6,3.0,4.333333333333333,3.1666666666666665,3.357142857142857,3.2222222222222223,0,3.7,4
1,2,261,24.341758286340216,4.0,2,3.7777777777777777,2.857142857142857,3.1666666666666665,4.0,4.0,5.0,3.3333333333333335,3.0,3.7,2.8,2.625,2.4285714285714284,3.0,3.0,3.0,3.8,3.6666666666666665,3.0,3.0,3.2,3.6666666666666665,4.0,2.4285714285714284,3.142857142857143,3.5555555555555554,0,3.5555555555555554,2
1,2,285,21.258503401360546,4.0,3,4.222222222222222,4.428571428571429,4.166666666666667,2.8333333333333335,4.714285714285714,5.0,4.0,3.0,2.1,3.4,3.5,4.428571428571429,3.5,3.25,5.0,4.2,3.5,4.333333333333333,3.3333333333333335,2.4,2.0,2.3333333333333335,4.285714285714286,3.4285714285714284,3.6666666666666665,0,2.7,4
2,2,278,23.38868655818771,4.0,3,4.444444444444445,4.142857142857143,2.6666666666666665,4.0,4.571428571428571,3.0,3.0,1.5,3.3,3.8,4.375,3.7142857142857144,3.25,2.0,2.0,3.6,3.5,3.6666666666666665,2.3333333333333335,4.6,3.0,4.0,3.142857142857143,3.5,3.6666666666666665,1,2.5555555555555554,3
1,2,235,19.60519199567334,4.0,4,4.444444444444445,3.142857142857143,2.3333333333333335,3.0,3.857142857142857,4.75,3.6666666666666665,2.25,2.9,2.4,3.375,2.857142857142857,3.0,3.25,4.25,4.0,3.5,3.6666666666666665,2.0,3.4,4.333333333333333,4.333333333333333,3.0,3.2142857142857144,4.222222222222222,0,,5
1,2,210,21.484374999999996,3.6,1,3.5555555555555554,4.285714285714286,2.1666666666666665,4.166666666666667,3.142857142857143,5.0,3.3333333333333335,3.25,3.4,3.6,1.875,3.5714285714285716,2.5,2.75,4.25,4.2,3.5,3.6666666666666665,3.0,3.6,3.0,3.0,4.285714285714286,2.5714285714285716,4.555555555555555,0,1.0,5
1,2,234,21.30394857667585,4.0,4,4.111111111111111,4.0,4.5,4.333333333333333,4.0,4.0,3.3333333333333335,1.75,3.5,3.4,4.0,3.4285714285714284,2.75,1.5,4.25,4.4,5.0,2.6666666666666665,3.3333333333333335,3.6,2.6666666666666665,4.0,3.8333333333333335,3.4285714285714284,3.7777777777777777,0,3.3,3
1,2,292,19.15119181970521,4.0,4,3.7777777777777777,4.285714285714286,3.6666666666666665,2.6666666666666665,4.0,3.75,2.0,1.25,3.8,3.6,4.5,3.7142857142857144,2.75,1.75,3.75,3.8,3.5,2.6666666666666665,3.3333333333333335,3.8,2.6666666666666665,4.0,3.5714285714285716,3.142857142857143,3.111111111111111,2,3.6666666666666665,4
2,2,239,25.737081414967538,4.0,4,4.0,3.7142857142857144,2.8333333333333335,4.0,4.428571428571429,3.5,4.0,1.75,2.9,3.0,4.125,3.4285714285714284,3.25,2.75,4.25,3.8,3.5,3.0,3.0,3.6,2.3333333333333335,4.0,3.142857142857143,3.142857142857143,3.7777777777777777,0,3.111111111111111,4
